iter	RMSE
0	25.35011261
1	24.36895818
2	23.44385541
3	22.56311851
4	21.73770153
5	20.96637153
6	20.2235828
7	19.54010258
8	18.87767524
9	18.27831417
10	17.697036
11	17.14204515
12	16.64547443
13	16.15855944
14	15.70230909
15	15.29163594
16	14.89602731
17	14.51750006
18	14.16704118
19	13.83486881
20	13.530071
21	13.23952653
22	12.9762852
23	12.72543959
24	12.49217132
25	12.26853522
26	12.04239977
27	11.85619707
28	11.65030597
29	11.46930757
30	11.3166791
31	11.16964045
32	11.03654436
33	10.89487289
34	10.77877419
35	10.65045292
36	10.54705119
37	10.4511409
38	10.35897641
39	10.27507257
40	10.19668253
41	10.11039402
42	10.02642702
43	9.95429931
44	9.900421513
45	9.846134846
46	9.792231562
47	9.746353185
48	9.693585292
49	9.65051647
50	9.60996173
51	9.577036816
52	9.536242373
53	9.505889413
54	9.479192635
55	9.446452318
56	9.422166593
57	9.391951246
58	9.364207973
59	9.343835118
60	9.325498145
61	9.307649061
62	9.292323314
63	9.261977671
64	9.242098851
65	9.229360015
66	9.211558016
67	9.200178193
68	9.184813141
69	9.157477182
70	9.141172931
71	9.131907648
72	9.11067912
73	9.100171228
74	9.090323672
75	9.072484707
76	9.063181774
77	9.040069329
78	9.01088997
79	8.999616979
80	8.983118178
81	8.97310594
82	8.958243069
83	8.952091679
84	8.930481775
85	8.921118407
86	8.915887417
87	8.908471643
88	8.902283138
89	8.888274129
90	8.879507704
91	8.868347409
92	8.864542513
93	8.856816235
94	8.851065771
95	8.846032836
96	8.832768096
97	8.808966585
98	8.802424385
99	8.79567817
100	8.788982183
101	8.767258994
102	8.757881401
103	8.753460747
104	8.750052824
105	8.747108582
106	8.735161702
107	8.730407204
108	8.721119703
109	8.718065408
110	8.715467911
111	8.69445422
112	8.687198082
113	8.674021389
114	8.671708508
115	8.65342333
116	8.643196681
117	8.635394366
118	8.622012312
119	8.618441551
120	8.604836446
121	8.602846186
122	8.59300088
123	8.58986824
124	8.579167046
125	8.563435307
126	8.549259779
127	8.530153256
128	8.51672287
129	8.500096096
130	8.488532525
131	8.472460173
132	8.466885292
133	8.464349948
134	8.457341655
135	8.445740221
136	8.428669919
137	8.419009393
138	8.39951599
139	8.384021364
140	8.376173918
141	8.367546419
142	8.364661379
143	8.358736281
144	8.354502342
145	8.345967544
146	8.338985274
147	8.328477346
148	8.310864897
149	8.300724435
150	8.297894905
151	8.293292923
152	8.282474538
153	8.272655264
154	8.267718525
155	8.258332269
156	8.250779499
157	8.24362178
158	8.220902143
159	8.200235187
160	8.181714107
161	8.172417448
162	8.164920629
163	8.14760145
164	8.128075106
165	8.110361983
166	8.102542046
167	8.087496167
168	8.074562533
169	8.063576881
170	8.057308326
171	8.042966674
172	8.030284505
173	8.022246873
174	8.011844032
175	8.007202758
176	7.994700413
177	7.991052221
178	7.984864145
179	7.971327676
180	7.95884541
181	7.94709786
182	7.935286875
183	7.931884939
184	7.92665863
185	7.915311543
186	7.904094522
187	7.891390899
188	7.8877049
189	7.868675948
190	7.856024042
191	7.85317481
192	7.844041247
193	7.841096595
194	7.828940868
195	7.819184384
196	7.813346425
197	7.808813235
198	7.803008114
199	7.793110802
200	7.785408249
201	7.780676493
202	7.777974662
203	7.769849565
204	7.763399136
205	7.761161162
206	7.756267202
207	7.752949093
208	7.745880211
209	7.736832237
210	7.732895319
211	7.726468859
212	7.714772307
213	7.70394238
214	7.698790666
215	7.688193069
216	7.686160474
217	7.680605924
218	7.673113463
219	7.665618236
220	7.657289708
221	7.654871494
222	7.650268345
223	7.649149793
224	7.641763255
225	7.63855243
226	7.635182538
227	7.629254325
228	7.62366502
229	7.618254429
230	7.611909936
231	7.607767204
232	7.603951814
233	7.602753795
234	7.599210359
235	7.594139379
236	7.585339894
237	7.58289727
238	7.579283023
239	7.576969953
240	7.574824404
241	7.573563925
242	7.55981905
243	7.554710918
244	7.550167784
245	7.549108216
246	7.544489085
247	7.539168573
248	7.534590463
249	7.531149286
250	7.527899646
251	7.523499657
252	7.510063662
253	7.50751819
254	7.496946618
255	7.494165765
256	7.489996813
257	7.487975949
258	7.481775735
259	7.479542855
260	7.47496571
261	7.471105228
262	7.469339307
263	7.467135069
264	7.466277108
265	7.456374751
266	7.451180357
267	7.447210432
268	7.443729674
269	7.432126791
270	7.430332739
271	7.42742236
272	7.416103175
273	7.412249441
274	7.408758862
275	7.40526228
276	7.403469269
277	7.393675129
278	7.390410184
279	7.38715079
280	7.384985001
281	7.383359505
282	7.380668238
283	7.379352012
284	7.378034627
285	7.376647553
286	7.373315388
287	7.368886965
288	7.366185908
289	7.361041876
290	7.356008994
291	7.354180724
292	7.350618776
293	7.347337029
294	7.345239723
295	7.343878245
296	7.342107983
297	7.336667987
298	7.335431305
299	7.332846583
