iter	Passed	Remaining
0	566	169402
1	810	120739
2	1044	103442
3	1298	96063
4	1537	90729
5	1779	87199
6	2009	84116
7	2233	81519
8	2476	80065
9	2723	78976
10	2948	77476
11	3251	78026
12	3509	77481
13	3762	76858
14	4022	76435
15	4272	75842
16	4550	75744
17	4789	75035
18	5077	75093
19	5347	74863
20	5599	74395
21	5898	74536
22	6140	73956
23	6402	73626
24	6661	73273
25	6894	72654
26	7161	72407
27	7431	72195
28	7735	72290
29	8038	72348
30	8314	72148
31	8577	71837
32	8835	71485
33	9103	71220
34	9382	71041
35	9659	70839
36	9920	70514
37	10216	70439
38	10510	70341
39	10789	70130
40	11060	69869
41	11394	69993
42	11734	70132
43	12069	70220
44	12358	70031
45	12703	70144
46	12942	69670
47	13231	69464
48	13561	69466
49	13822	69111
50	14194	69303
51	14527	69282
52	14795	68950
53	15071	68657
54	15374	68486
55	15690	68364
56	16012	68265
57	16316	68079
58	16571	67689
59	16850	67403
60	17165	67255
61	17474	67077
62	17828	67069
63	18135	66873
64	18444	66685
65	18790	66620
66	19102	66430
67	19419	66255
68	19731	66058
69	20004	65728
70	20296	65464
71	20599	65231
72	20907	65013
73	21239	64866
74	21513	64540
75	21794	64237
76	22112	64040
77	22440	63868
78	22718	63554
79	23069	63440
80	23374	63196
81	23682	62960
82	23990	62721
83	24309	62509
84	24676	62417
85	24992	62191
86	25314	61976
87	25619	61720
88	25994	61627
89	26292	61349
90	26639	61183
91	26981	61001
92	27294	60752
93	27605	60497
94	27935	60282
95	28266	60066
96	28595	59843
97	28901	59572
98	29213	59311
99	29558	59116
100	29894	58900
101	30254	58730
102	30576	58482
103	30931	58293
104	31244	58026
105	31560	57761
106	31886	57515
107	32215	57271
108	32494	56939
109	32815	56681
110	33168	56475
111	33500	56232
112	33839	55999
113	34217	55828
114	34553	55586
115	34901	55360
116	35252	55137
117	35600	54909
118	35969	54709
119	36294	54441
120	36625	54181
121	36959	53925
122	37259	53617
123	37576	53333
124	37926	53096
125	38253	52826
126	38615	52602
127	38926	52306
128	39257	52038
129	39538	51703
130	39875	51441
131	40204	51169
132	40550	50916
133	40872	50632
134	41191	50344
135	41489	50031
136	41786	49716
137	42109	49432
138	42433	49149
139	42746	48853
140	43044	48540
141	43370	48257
142	43732	48013
143	44092	47766
144	44374	47434
145	44707	47157
146	44963	46798
147	45275	46499
148	45570	46181
149	45896	45896
150	46148	45537
151	46475	45252
152	46792	44957
153	47075	44630
154	47402	44344
155	47724	44053
156	48045	43761
157	48367	43469
158	48718	43202
159	49062	42929
160	49353	42609
161	49647	42292
162	49929	41965
163	50237	41660
164	50558	41366
165	50881	41072
166	51144	40731
167	51429	40408
168	51798	40151
169	52079	39825
170	52389	39522
171	52701	39219
172	53013	38917
173	53307	38602
174	53685	38346
175	53962	38018
176	54291	37727
177	54584	37412
178	54859	37083
179	55175	36783
180	55491	36483
181	55793	36173
182	56077	35852
183	56355	35528
184	56646	35212
185	56968	34916
186	57282	34614
187	57552	34286
188	57795	33943
189	58078	33624
190	58385	33319
191	58675	33004
192	59001	32710
193	59248	32372
194	59523	32051
195	59787	31723
196	60050	31397
197	60318	31073
198	60655	30784
199	60993	30496
200	61279	30182
201	61594	29882
202	61859	29558
203	62189	29265
204	62536	28980
205	62821	28666
206	63082	28341
207	63344	28017
208	63685	27728
209	63982	27421
210	64249	27100
211	64580	26807
212	64872	26497
213	65140	26178
214	65421	25864
215	65721	25558
216	66018	25251
217	66367	24963
218	66651	24651
219	66930	24338
220	67198	24021
221	67504	23717
222	67791	23407
223	68109	23108
224	68458	22819
225	68757	22513
226	69071	22212
227	69400	21915
228	69728	21618
229	70058	21322
230	70382	21023
231	70689	20719
232	70976	20409
233	71267	20101
234	71571	19796
235	71855	19486
236	72128	19173
237	72437	18870
238	72748	18567
239	73023	18255
240	73349	17957
241	73643	17649
242	73953	17347
243	74287	17049
244	74622	16752
245	74947	16451
246	75217	16139
247	75510	15832
248	75826	15530
249	76132	15226
250	76438	14922
251	76750	14619
252	77075	14318
253	77399	14017
254	77722	13715
255	78035	13412
256	78338	13107
257	78667	12806
258	78985	12503
259	79274	12196
260	79591	11892
261	79901	11588
262	80195	11282
263	80490	10975
264	80775	10668
265	81087	10364
266	81382	10058
267	81709	9756
268	82055	9456
269	82356	9150
270	82672	8846
271	82983	8542
272	83292	8237
273	83560	7929
274	83802	7618
275	84114	7314
276	84391	7007
277	84668	6700
278	84982	6396
279	85270	6090
280	85582	5786
281	85878	5481
282	86217	5179
283	86543	4875
284	86844	4570
285	87121	4264
286	87369	3957
287	87682	3653
288	87966	3348
289	88256	3043
290	88582	2739
291	88895	2435
292	89182	2130
293	89502	1826
294	89768	1521
295	90040	1216
296	90304	912
297	90616	608
298	90898	304
299	91211	0
