item_id,date,store_id
c578da8e8841,2019-10-17,1
4dd2b686802c,2019-10-17,1
16ade2e3fca9,2019-10-17,1
f4eb16dab09e,2019-10-17,1
ab1384c2af6d,2020-05-31,1
d18a00e52f60,2019-10-17,1
4aa8dbe05246,2022-02-08,1
704ce9e6f97e,2019-10-17,1
d83dd928639b,2019-10-17,1
7ca30789880f,2019-10-17,1
a8070899755b,2019-10-17,1
55377e71fe72,2019-10-17,1
2716ebe9a4a0,2021-11-19,1
b7fe80355def,2019-10-17,1
438924059eea,2022-08-25,1
61eb6b851b69,2019-10-17,1
83804453f390,2022-09-06,1
cebdc93fe44e,2019-10-17,1
3375d54aa7f9,2019-10-17,1
10bac6caa2cc,2019-10-17,1
1b75f80dc620,2022-10-04,1
b68661a0801f,2019-10-17,1
d8abe7c9af3d,2019-10-17,1
398674134c6a,2024-02-29,1
9bb7bd3aa5f3,2021-02-02,1
7c9ba1d2bdd3,2020-04-24,1
2c7591ed7b3e,2019-10-17,1
d34d4d061cfd,2023-09-13,1
9437eafe7bae,2019-10-17,1
4e0fbcf99cf9,2022-09-06,1
2e008b673129,2022-09-01,1
cf6af68fd6c8,2020-03-04,1
90e4b1dc3b37,2020-03-05,1
077a9ac8c96e,2024-08-22,1
2f7e924953af,2019-10-17,1
b8f656e1c257,2019-10-17,1
e9bee8431255,2022-06-19,1
49db9c973903,2019-10-17,1
7731f5aafc1e,2019-10-17,1
a1890526203f,2019-10-17,1
38049b1df176,2024-05-22,1
dfff59dace03,2024-04-03,1
0e8b2658c62b,2024-04-03,1
1c6196cdf547,2023-11-22,1
dc7191c3296c,2019-10-17,1
9ec228d36440,2019-10-17,1
8000f79642a8,2019-10-17,1
c2625a0c8a8b,2024-08-12,1
3b4418190c20,2019-10-17,1
d10f92211b7a,2022-02-11,1
2491db08674f,2019-10-17,1
fd0836293fa8,2023-06-23,1
0acbf086d61a,2024-05-03,1
9d6072422e8e,2024-04-20,1
78a8896d4474,2019-10-17,1
b42301424cda,2024-08-28,1
90f299fcafac,2019-10-17,1
c41176e28eec,2019-10-17,1
65f4d67ce285,2019-10-17,1
13c8e0c23737,2019-10-17,1
450b16072b58,2019-10-17,1
ef610fd0608b,2023-05-04,1
a32152514ed8,2019-10-17,1
96ac3a94faba,2019-10-17,1
2a6b394a8e8b,2019-10-17,1
f5217753fd4f,2022-09-22,1
056d36871f9b,2019-10-17,1
c2fd24440a04,2019-10-17,1
e41760c06ce7,2021-11-11,1
4c6516857bde,2019-10-17,1
e31ffb411e12,2019-10-17,1
a46cd6e7ccf0,2019-10-17,1
de8029f45575,2019-10-17,1
39bbba53153b,2019-10-17,1
3c52b08aaa7e,2019-10-17,1
cccb1cf040ab,2019-10-17,1
165f27447f15,2020-12-10,1
fa84119d3a3a,2023-12-26,1
3c3455fb4cfa,2019-10-17,1
1b9c6c457039,2019-10-17,1
