store_id,item_id,date,quantity,revenue,price_base,day_of_week,day_of_month,month,year,quarter,is_weekend,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_std_7,rolling_mean_28,rolling_std_28,price_ratio_30d,dept_name,class_name,subclass_name,weight_netto,division,format,city,area
1,001829cb707d,2022-10-05,3.0,449.7,149.9,2,5,10,2022,4,0,5.0,1.0,4.0,7.0,2.0,1.5275252,3.3214285,2.6534894,1.1515456584012511,СЛИВКИ,СЛИВКИ,СЛИВКИ ПИТЬЕВЫЕ,0.5,Div1,Format-1,City1,1500
1,001829cb707d,2022-10-06,3.0,449.7,149.9,3,6,10,2022,4,0,3.0,1.0,1.0,1.0,2.2857144,1.4960265,3.1785715,2.553916,1.1455592920167932,СЛИВКИ,СЛИВКИ,СЛИВКИ ПИТЬЕВЫЕ,0.5,Div1,Format-1,City1,1500
1,001829cb707d,2022-10-07,1.0,149.9,149.9,4,7,10,2022,4,0,3.0,1.0,5.0,4.0,2.5714285,1.3972763,3.25,2.5184505,1.1400279006428038,СЛИВКИ,СЛИВКИ,СЛИВКИ ПИТЬЕВЫЕ,0.5,Div1,Format-1,City1,1500
1,001829cb707d,2022-10-08,4.0,586.69,146.67,5,8,10,2022,4,1,1.0,3.0,9.0,2.0,2.5714285,1.3972763,3.142857,2.548991,1.1111980126776226,СЛИВКИ,СЛИВКИ,СЛИВКИ ПИТЬЕВЫЕ,0.5,Div1,Format-1,City1,1500
1,001829cb707d,2022-10-09,3.0,449.7,149.9,6,9,10,2022,4,1,4.0,2.0,1.0,1.0,2.7142856,1.4960265,3.2142856,2.5437963,1.1331879348470106,СЛИВКИ,СЛИВКИ,СЛИВКИ ПИТЬЕВЫЕ,0.5,Div1,Format-1,City1,1500
1,001829cb707d,2022-10-12,1.0,149.9,149.9,2,12,10,2022,4,0,3.0,1.0,1.0,1.0,2.857143,1.4638501,3.2857144,2.5071328,1.129800058050167,СЛИВКИ,СЛИВКИ,СЛИВКИ ПИТЬЕВЫЕ,0.5,Div1,Format-1,City1,1500
1,001829cb707d,2022-10-13,2.0,299.8,149.9,3,13,10,2022,4,0,1.0,5.0,4.0,1.0,2.857143,1.4638501,3.2857144,2.5071328,1.126432378250432,СЛИВКИ,СЛИВКИ,СЛИВКИ ПИТЬЕВЫЕ,0.5,Div1,Format-1,City1,1500
1,001829cb707d,2022-10-14,3.0,449.53,149.84,4,14,10,2022,4,0,2.0,3.0,1.0,2.0,2.4285715,1.1338934,3.3214285,2.480346,1.1187793935629318,СЛИВКИ,СЛИВКИ,СЛИВКИ ПИТЬЕВЫЕ,0.5,Div1,Format-1,City1,1500
1,001829cb707d,2022-10-15,2.0,299.8,149.9,5,15,10,2022,4,1,3.0,3.0,1.0,1.0,2.4285715,1.1338934,3.357143,2.4677818,1.1159389608933248,СЛИВКИ,СЛИВКИ,СЛИВКИ ПИТЬЕВЫЕ,0.5,Div1,Format-1,City1,1500
1,001829cb707d,2022-10-16,1.0,149.9,149.9,6,16,10,2022,4,1,2.0,1.0,1.0,7.0,2.2857144,1.1126972,3.392857,2.439479,1.1126532876603632,СЛИВКИ,СЛИВКИ,СЛИВКИ ПИТЬЕВЫЕ,0.5,Div1,Format-1,City1,1500
