Model,WAPE,MAE,RMSE,MAPE (%),Bias (%),R2
Prophet (Aggregate TimeSeries),0.0551,4566.0351,6223.9736,5.16,-5.3,0.4934
"ARIMA (5,1,0)",0.0809,6700.7462,9925.7038,7.37,-6.99,-0.2883
LightGBM Forecaster,0.3613,2.198,18.4907,66.57,-3.44,0.8071
Random Forest Regressor,0.371,2.2573,19.0056,68.28,-3.34,0.7962
XGBoost TimeSeries,0.3755,2.2848,21.9482,66.67,-4.16,0.7282
Moving Avg (7D),0.3794,2.3082,13.2883,67.4,-0.68,0.9004
CatBoost Regressor,0.3878,2.3597,23.9007,72.07,-4.4,0.6777
Moving Avg (28D),0.3903,2.3746,13.5931,70.35,-1.78,0.8958
Last Value Baseline,0.4409,2.6825,13.0543,72.9,-0.11,0.9039
Seasonal Naive (7D),0.4641,2.8236,19.2471,79.49,-2.52,0.791
